RTF,Weighted Error
0.91,0.0022819552614248826
1.0,0.03305581265631659
1.0,0.10978283886822415
0.99,0.0041094770197670745
0.0,2.089578726350035
1.0,8.505005891664691
0.0,4.446513461153063
0.0,9.652898315152171
1.0,0.2769575686334378
0.0,0.1867877937260917
1.0,3.1910997798752745
0.0,3.1198521575725593
0.0,0.11417164408228077
0.0,0.4823527744593018
0.0,0.007599271118011242
0.0,2.5142604002445617
1.0,0.0339333953646813
0.0,2.3617836326896366
0.66,0.0035351164544308294
1.0,2.472998862952321
1.0,1.4250108017811658
0.0,5.692677031137814
0.0,2.9277518009585473
1.0,7.227063458702739
0.0,0.39692623957390444
0.0,0.10300726905101094
0.0,4.9192958452016065
1.0,2.17872854418535
0.0,0.8729056632471968
0.0,1.1483377292867283
1.0,0.11411462133721866
1.0,3.549554850135244
0.0,0.003159646702674192
0.0,7.133166058237044
0.0,9.563529135867308
1.0,5.9307140235765745
0.0,2.2200632124361914
0.0,6.615530623515394
1.0,2.8895374959234283
1.0,0.6291347779562051
0.0,3.862451829098265
1.0,4.508148669621261
0.0,3.766669388994883
0.0,3.468515037826606
1.0,1.8884242897244434
0.0,0.04780490321599404
1.0,3.088212732505451
1.0,4.3743516867216465
0.0,2.6442213784707778
0.0,0.06714589162686116
1.0,1.3491170762059626
0.0,9.139704486193969
1.0,0.3840676606021656
1.0,1.330334822640105
0.0,1.5619167802013134
0.0,0.41157852647475385
0.0,0.1590984027294859
0.0,5.341301163400057
0.0,1.7900480229025055
0.0,0.431300364059684
0.0,7.711200057947438
0.0,4.055343710827305
1.0,3.3787900933445734
0.0,1.7263199823573043
0.9,0.004605901906745712
1.0,1.3441437515612409
0.0,1.304212794548357
0.0,7.1211740623028295
1.0,5.671308812485252
0.0,0.7670426353561592
0.0,7.189629511145618
0.0,7.259122972444248
0.0,0.22528490160156153
0.14,0.005604727929878027
0.0,0.4063943741488695
0.0,0.6496830118202963
0.0,5.4619517115201806
0.0,2.6631049349299114
1.0,0.6482941298272313
0.0,1.141942057771809
0.0,0.35820470816526545
1.0,2.712058970564891
1.0,1.462116917993292
0.0,0.05955782387978106
0.0,0.6311711231027287
1.0,0.7007163100124367
0.0,3.437810302931292
1.0,0.5821343428183892
0.0,1.1008056843599092
0.0,0.9956070144409233
0.0,3.4476964350753425
1.0,1.693041851717241
0.0,6.606192156126577
0.0,0.028726705386675804
0.13,0.004809072181592412
1.0,5.385239733475075
0.0,2.7310451989194195
0.0,1.572932574108734
1.0,0.16494983579411737
0.0,4.227472816064728
0.0,3.206282609277748
0.0,9.652656811418773
0.0,6.804289188982612
0.0,0.04579454294940081
0.98,0.004010378964431443
0.0,1.772713822921883
1.0,7.435725052287068
1.0,0.1712797148312274
1.0,0.7078674386735481
1.0,0.6553737470048983
1.0,7.797675737912106
1.0,6.293990197651868
1.0,3.0103978773112097
1.0,2.56974265302603
0.0,6.942560313862508
1.0,0.3692874238305834
1.0,6.82898124280828
1.0,2.7746248297085954
1.0,0.03174175249395649
0.0,0.2312235507724785
0.0,2.3632551187582105
0.0,2.006023019622374
1.0,5.693677285820554
1.0,0.0635821581115568
1.0,0.16889835782015444
1.0,7.760464260009692
1.0,0.12763725435246925
0.0,2.470873048144997
1.0,4.796509221437974
1.0,2.474318542146916
1.0,1.2481262264344533
1.0,2.7867893319507373
1.0,6.656087730202776
0.72,0.0032037776811398785
1.0,0.3788053041960717
1.0,1.2503754882048916
1.0,0.02707751571379152
0.71,0.002149935267646725
1.0,0.2217591078251834
0.48,0.0035888080005922595
0.0,3.6600296375205055
1.0,0.018821690007613776
0.0,2.479486275950439
0.35,0.008877257109601227
0.0,3.1663292165146655
1.0,1.4989191575670298
1.0,3.681569445560305
0.0,6.3152598810187435
0.0,0.547415093404263
1.0,2.1355359881664273
0.0,0.07242217856494933
0.8300000000000001,0.0054009290929347194
1.0,0.22497081305630467
0.0,9.24813312933659
1.0,0.004058855544517463
0.0,5.7479159216625
0.0,1.2526999849371052
0.41,0.004487427161053365
0.2,0.0020077026692431783
1.0,0.8007541849315045
0.68,0.006845959251270427
1.0,1.1052221647203433
1.0,7.785362188123574
0.0,1.9843371472180495
0.0,0.8194352461727187
1.0,4.093807858022471
0.0,0.04567813469650154
0.0,1.8418061099095997
0.0,1.9681681551481698
0.0,0.6737605518060464
0.0,0.036211956764512554
1.0,4.60481118867839
0.38,0.0034549329181967304
0.0,0.12068849882731424
0.0,9.202825948748188
0.0,7.191863493189723
0.0,4.013149133125893
0.0,0.15660302757209218
0.0,8.256634410638393
0.0,4.278772738860851
1.0,4.8483988650267245
1.0,9.789029601497383
0.0,8.082145719762766
0.0,3.886545715382014
0.95,0.0030880607851024823
0.0,0.1480397923154797
0.0,6.313545794057276
0.0,6.3055177298019744
0.0,1.1051067277901248
0.0,2.123943436050516
1.0,2.787234813522789
0.0,0.2920466558319744
1.0,2.545272229303994
1.0,0.08621153976707326
0.34,0.004949501637587133
0.0,0.207902571137545
1.0,7.2542938358727875
0.0,1.161502736786415
1.0,2.335148675619672
0.0,0.009659060575418061
1.0,4.462177447720131
0.0,1.119689678777088
0.29,0.0021496894444460644
0.0,8.520119590458112
1.0,0.006771792021138686
0.0,4.877335305493279
0.0,0.08105805516406024
0.0,3.168502001985383
0.0,0.22461208832880317
0.0,1.9331205803741422
0.0,0.808379017127273
0.0,1.5625920550916776
1.0,1.0973167563240347
1.0,2.824320844377383
0.0,2.2524798829140393
1.0,0.1351687074096667
1.0,6.4511085385165305
0.74,0.007495021796928354
1.0,2.4173910260122526
0.0,10.019593364963551
0.58,0.005220080566580073
1.0,0.7013363289992359
0.0,0.4776571176912035
1.0,7.8322238906237445
1.0,1.3234985366939631
0.0,0.9840373931919735
1.0,0.2356190058701333
1.0,4.1337193065994
1.0,0.7234298915311784
1.0,2.6678538239633087
0.0,4.875482026117218
1.0,0.05582899301681438
1.0,2.6352382151367935
1.0,6.69901058963467
1.0,2.822209482907497
0.0,4.500943345002098
0.0,0.21722310756347873
0.0,4.557982098779403
1.0,7.097816032341441
0.0,7.569925173181551
0.0,5.21983258817053
1.0,9.808529411992176
1.0,1.0137671644858666
1.0,0.5120767089081445
0.75,0.00849805697480952
1.0,2.5630047754997514
0.0,2.0347187141062353
0.0,2.004811684200993
0.42,0.005911829553056627
1.0,1.1352761770245576
0.0,5.424790739699614
0.0,7.035818181178675
1.0,3.618685038245576
0.0,4.320188747122387
1.0,3.4635473050129733
1.0,4.908555595599374
0.0,0.29632259475163947
1.0,0.08709832645465625
