RTF,FT4,FT3,TSH
0.1011011011011011,0.0813166197626047,2.2677026260460025,0.10499621078885964
0.1021021021021021,0.08205871835288694,2.267176915840896,0.10396601142818089
0.1031031031031031,0.08280079317907321,2.266658101652004,0.10432839535076263
0.1041041041041041,0.08354060844988218,2.266140843318394,0.10283045887180804
0.10510510510510511,0.08428038800489226,2.265630166046097,0.10268473846644537
0.1061061061061061,0.08501848608970239,2.265122635972981,0.10150365340935978
0.10710710710710711,0.08575546819775023,2.2646196120281603,0.10009032802587026
0.10810810810810811,0.08649349316684127,2.2641237890605663,0.1015573563128396
0.1091091091091091,0.08722887550224918,2.2636298755610023,0.10058897934331638
0.11011011011011011,0.0879663517280567,2.2631452982677014,0.10382730348119933
0.1111111111111111,0.08869313401925598,2.2626564848316257,0.09310596404333546
0.11211211211211211,0.08943300162283516,2.262179321935023,0.10268886128326349
0.11311311311311312,0.09016431110575426,2.261701871218748,0.10128284216126052
0.11411411411411411,0.09089504883933486,2.2612294328829288,0.10034636700854582
0.11511511511511512,0.0916250347997952,2.2607615423661396,0.09963178726925327
0.11611611611611611,0.09235420957507236,2.2602980277756144,0.09905146065198371
0.11711711711711711,0.0930825470681582,2.2598387945745735,0.09856258785048769
0.11811811811811812,0.09381003665695761,2.2593837817217453,0.09814327247544405
0.11911911911911911,0.09453667506691107,2.2589329418060418,0.09778170478054993
0.12012012012012012,0.09526654610710875,2.2584901079157698,0.10272998220271598
0.12112112112112113,0.09599127094865079,2.258046778276396,0.10217703652809462
0.12212212212212212,0.09671562710841833,2.257608276843837,0.10225329426485588
0.12312312312312312,0.09743805850267352,2.257172361615681,0.10104207023328102
0.12412412412412413,0.09816077711809883,2.2567419894560383,0.10124947999302436
0.12512512512512514,0.0988813666714738,2.256314185877928,0.09991392560267076
0.12612612612612611,0.09960206525921282,2.255891415410527,0.09976401129681495
0.12712712712712712,0.10032102073009261,2.2554719788913564,0.09852812150184619
0.12812812812812813,0.10103888524393496,2.2550569375393326,0.09697434275044976
0.12912912912912913,0.10176018286551484,2.254647661207017,0.10064336338178351
0.13013013013013014,0.10247485357750503,2.254238857317306,0.09733592083772016
0.13113113113113112,0.10319176108705493,2.253835653036293,0.09772250184258038
0.13213213213213212,0.10390508132162321,2.2534416895873006,0.0943768155793154
0.13313313313313313,0.10462493141287499,2.2530423354319042,0.10056845505063901
0.13413413413413414,0.1053354108768217,2.2526489431290453,0.09631338456153016
0.13513513513513514,0.10604791371953133,2.2522618139552533,0.09531256407361921
0.13613613613613612,0.10675976257773523,2.251880689290691,0.09435462514432273
0.13713713713713713,0.10747432968751966,2.2514959272721446,0.09801380146517083
0.13813813813813813,0.10818089682001197,2.251123512143864,0.09272718218337908
0.13913913913913914,0.10888787036263163,2.2507451818601902,0.0895611828353728
0.14014014014014015,0.10960168876148443,2.2503786313552725,0.09454767850619496
0.14114114114114115,0.11030581003238962,2.25000990338953,0.08984016386300442
0.14214214214214213,0.11101120872853676,2.2496475508622478,0.08732079838071818
0.14314314314314314,0.11171161733259723,2.2493075716179063,0.07889814386023257
0.14414414414414414,0.11241591803887507,2.248949972113971,0.07716856436283501
0.14514514514514515,0.11311877343258905,2.2485958957819263,0.07473835827491958
